id	kind	label	piece_hex	visible_piece
28990	piece	piece_28990	e7a5a5	祥
28991	piece	piece_28991	e7a6b9	禹
28992	piece	piece_28992	e7a7a4	秤
28993	piece	piece_28993	e7a88d	稍
28994	piece	piece_28994	e7a88e	税
28995	piece	piece_28995	e7a894	稔
28996	piece	piece_28996	e7a8b3	稳
28997	piece	piece_28997	e7a8bf	稿
28998	piece	piece_28998	e7a980	穀
28999	piece	piece_28999	e7a98c	穌
29000	piece	piece_29000	e7a9a9	穩
29001	piece	piece_29001	e7aa92	窒
29002	piece	piece_29002	e7aa93	窓
29003	piece	piece_29003	e7abb6	競
29004	piece	piece_29004	e7abbf	竿
29005	piece	piece_29005	e7ac9b	笛
29006	piece	piece_29006	e7adb9	筹
29007	piece	piece_29007	e7ae8f	箏
29008	piece	piece_29008	e7aead	箭
29009	piece	piece_29009	e7af86	篆
29010	piece	piece_29010	e7afa4	篤
29011	piece	piece_29011	e7b1ac	籬
29012	piece	piece_29012	e7b2bf	粿
29013	piece	piece_29013	e7b39f	糟
29014	piece	piece_29014	e7b3af	糯
29015	piece	piece_29015	e7b3b8	糸
29016	piece	piece_29016	e7b48a	紊
29017	piece	piece_29017	e7b4af	累
29018	piece	piece_29018	e7b6a0	綠
29019	piece	piece_29019	e7b6ba	綺
29020	piece	piece_29020	e7b7b4	練
29021	piece	piece_29021	e7b881	縁
29022	piece	piece_29022	e7b8be	績
29023	piece	piece_29023	e7b98b	繋
29024	piece	piece_29024	e7ba82	纂
29025	piece	piece_29025	e7bba3	绣
29026	piece	piece_29026	e7bbb3	绳
29027	piece	piece_29027	e7bbb8	绸
29028	piece	piece_29028	e7bbbd	绽
29029	piece	piece_29029	e7bc93	缓
29030	piece	piece_29030	e7bcb8	缸
29031	piece	piece_29031	e7bdb2	署
29032	piece	piece_29032	e7bdb9	罹
29033	piece	piece_29033	e7beaf	羯
29034	piece	piece_29034	e7bf9f	翟
29035	piece	piece_29035	e7bfa0	翠
29036	piece	piece_29036	e88090	耐
29037	piece	piece_29037	e88097	耗
29038	piece	piece_29038	e880bb	耻
29039	piece	piece_29039	e88283	肃
29040	piece	piece_29040	e88285	肅
29041	piece	piece_29041	e8829a	肚
29042	piece	piece_29042	e8829d	肝
29043	piece	piece_29043	e882a0	肠
29044	piece	piece_29044	e882a4	肤
29045	piece	piece_29045	e882aa	肪
29046	piece	piece_29046	e882b4	肴
29047	piece	piece_29047	e88487	脇
29048	piece	piece_29048	e88593	腓
29049	piece	piece_29049	e885a7	腧
29050	piece	piece_29050	e885b3	腳
29051	piece	piece_29051	e8869b	膛
29052	piece	piece_29052	e88889	舉
29053	piece	piece_29053	e8889b	舛
29054	piece	piece_29054	e8889c	舜
29055	piece	piece_29055	e888a0	舠
29056	piece	piece_29056	e888a1	舡
